benchmark,method,n_pool,n_gold,n_pos,accuracy,precision,recall,macro_f1,fpr,auprc
Fraud-R1 (balanced diag),Official Judge (GPTCheck),600,600,300,0.505000,0.508380,0.303333,0.543312,0.293333,
Fraud-R1 (balanced diag),FraudDistill-MAT (4-agent),600,600,300,0.850000,0.790055,0.953333,0.805358,0.253333,0.847047
Fraud-R1 (balanced diag),Budgeted Cascade (ours),600,600,300,0.868333,0.818444,0.946667,0.833949,0.210000,0.888054
OR-Bench,Official Response Checker,3000,600,40,0.658333,0.119816,0.650000,0.430632,0.341071,
OR-Bench,FraudDistill-MAT (4-agent),3000,600,40,0.943333,1.000000,0.150000,0.630435,0.000000,0.268408
OR-Bench,Budgeted Cascade (ours),3000,600,40,0.930000,0.479167,0.575000,0.739042,0.044643,0.065374
Do-Not-Answer,Longformer-Harmful,5634,5634,193,0.995030,0.966102,0.886010,0.961611,0.001103,0.965655
Do-Not-Answer,FraudDistill-MAT (4-agent),5634,5634,193,0.904686,0.101852,0.227979,0.534745,0.071310,0.125607
Do-Not-Answer,Budgeted Cascade (ours),5634,5634,193,0.921370,0.116564,0.196891,0.546752,0.052931,0.363028
Aegis 2.0 (full 1964),NemoGuard-8B (full, 16 None abstain),1964,1964,394,0.950611,0.870324,0.885787,0.922433,0.033121,
Aegis 2.0 (full 1964),FraudDistill-MAT (4-agent),1964,1964,394,0.760692,0.441358,0.725888,0.659186,0.230573,0.486147
Aegis 2.0 (full 1964),Budgeted Cascade (ours),1964,1964,394,0.866090,0.874286,0.388325,0.761886,0.014013,0.749083
